date,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,exit_reason,pnl
2025-04-29,11:19:22,12:30:04,SELL,552.86,552.67,2.654,1.659,TIME,0.19000000000005457
2025-04-29,12:37:37,12:37:38,BUY,553.05,553.05,2.377,3.317,TIME,0.0
2025-04-29,12:38:20,12:38:21,BUY,553.15,553.11,2.377,3.317,TIME,-0.03999999999996362
2025-04-30,09:30:01,10:09:40,BUY,546.29,548.66,2.336,3.17,TP,2.3700000000000045
2025-04-30,12:30:01,13:07:09,BUY,549.96,552.58,2.336,3.17,TP,2.6200000000000045
2025-05-01,10:30:02,10:56:28,BUY,563.39,559.83,2.45,3.119,SL,-3.5599999999999454
2025-05-01,11:30:01,13:30:03,BUY,560.3,561.87,3.787,1.782,TIME,1.57000000000005
2025-05-02,08:30:34,08:51:52,BUY,564.54,562.88,2.242,1.5130000000000001,SL,-1.6599999999999682
2025-05-02,09:30:01,09:33:53,BUY,566.27,565.33,2.354,1.009,SL,-0.9399999999999409
2025-05-02,09:40:49,09:40:50,BUY,565.7,565.67,2.242,1.5130000000000001,TIME,-0.030000000000086402
2025-05-02,09:40:51,,SELL,565.62,,2.298,3.475,,
2025-05-05,08:31:03,,BUY,562.49,,2.242,1.5130000000000001,,
2025-05-06,09:00:01,,BUY,557.44,,2.373,1.582,,
2025-05-06,11:16:29,11:16:30,BUY,562.08,562.08,2.373,1.582,TIME,0.0
2025-05-06,12:23:25,12:23:26,BUY,559.61,559.56,2.373,1.582,TIME,-0.05000000000006821
2025-05-06,12:23:27,12:23:28,BUY,559.58,559.53,2.4859999999999998,1.921,TIME,-0.05000000000006821
2025-05-06,12:23:29,12:30:04,BUY,559.58,559.63,2.6559999999999997,1.3,TIME,0.049999999999954525
2025-05-07,08:31:01,09:29:01,BUY,559.68,561.89,2.523,2.411,TIME,2.2100000000000364
2025-05-07,09:30:01,09:54:08,BUY,561.86,559.63,2.523,2.018,SL,-2.230000000000018
2025-05-07,10:35:24,12:13:31,BUY,559.02,561.67,2.6350000000000002,1.29,TP,2.6499999999999773
2025-05-08,08:33:05,09:29:03,SELL,564.82,564.33,2.478,2.3649999999999998,TIME,0.4900000000000091
2025-05-08,09:29:04,09:55:29,SELL,564.33,561.97,2.3649999999999998,2.253,TP,2.3600000000000136
2025-05-08,09:55:30,10:22:52,SELL,561.96,565.47,2.4210000000000003,3.4909999999999997,SL,-3.509999999999991
2025-05-08,10:30:01,10:40:35,SELL,566.19,567.89,2.816,1.52,SL,-1.6999999999999318
