date,entry_time,exit_time,direction,entry_price,exit_price,tp,sl,exit_reason,pnl
2025-05-27,09:30:01,10:29:05,BUY,587.875,588.92,2.321,1.451,TIME,1.044999999999959
2025-05-27,12:30:01,,BUY,590.19,,2.4370000000000003,3.192,,
2025-05-28,09:30:01,11:29:04,SELL,590.21,589.892,3.138,1.303,TIME,0.31799999999998363
2025-06-02,08:31:14,08:59:01,BUY,588.42,586.846,2.5420000000000003,2.956,TIME,-1.5739999999999554
2025-06-02,08:59:02,09:14:04,SELL,586.83,587.14,2.66,2.601,TIME,-0.30999999999994543
2025-06-03,08:31:01,09:29:02,SELL,593.122,593.7025,2.6710000000000003,3.562,TIME,-0.5805000000000291
2025-06-03,09:30:01,11:19:26,BUY,593.8345,596.2185,2.3739999999999997,1.009,TP,2.383999999999901
2025-06-03,12:30:01,,SELL,596.75,,2.612,0.8310000000000001,,
2025-06-04,10:06:18,10:06:19,BUY,597.7165,597.7,1.433,1.254,TIME,-0.016499999999950887
2025-06-04,10:08:06,10:08:07,BUY,597.7905,597.78,1.433,1.254,TIME,-0.010499999999979082
2025-06-04,10:12:46,10:12:47,BUY,597.73,597.71,1.433,1.254,TIME,-0.01999999999998181
2025-06-04,10:12:48,10:44:51,BUY,597.73,596.49,1.3130000000000002,1.194,SL,-1.240000000000009
2025-06-04,10:44:52,12:29:04,BUY,596.4675,597.3405,1.3130000000000002,1.254,TIME,0.8730000000000473
2025-06-04,12:29:05,13:41:54,SELL,597.34,597.358,1.7309999999999999,1.3130000000000002,TIME,-0.017999999999915417
