date,pattern_number_of_day,entry_time,exit_time,entry_price,exit_price,pnl_points,pnl_dollars,exit_type
2025-03-20,2,2025-03-20 09:30:00,2025-03-20 10:29:00,5701.29,5695.35,-5.94,-29.7,TIME
2025-03-20,3,2025-03-20 10:30:00,2025-03-20 11:29:00,5695.45,5667.1,-28.35,-141.75,TIME
2025-03-20,5,2025-03-20 12:30:00,2025-03-20 12:45:00,5652.91,5664.91,12.0,60.0,TP
2025-03-20,6,2025-03-20 13:30:00,2025-03-20 13:52:00,5647.13,5659.13,12.0,60.0,TP
2025-03-20,4,2025-03-20 11:30:00,2025-03-20 12:29:00,5667.36,5652.89,-14.47,-72.35,TIME
2025-03-20,1,2025-03-20 08:30:00,2025-03-20 08:30:00,5646.92,5634.92,12.0,60.0,TP
2025-03-21,3,2025-03-21 09:30:00,2025-03-21 10:29:00,5621.73,5621.01,0.72,3.6,TIME
2025-03-21,1,2025-03-21 08:30:00,2025-03-21 09:29:00,5630.73,5621.5,-9.23,-46.15,TIME
2025-03-21,6,2025-03-21 13:30:00,2025-03-21 14:29:00,5643.59,5642.45,-1.14,-5.7,TIME
2025-03-21,2,2025-03-21 12:30:00,2025-03-21 13:29:00,5643.67,5643.61,0.06,0.3,TIME
2025-03-21,4,2025-03-21 10:30:00,2025-03-21 11:12:00,5620.88,5632.88,12.0,60.0,TP
2025-03-21,5,2025-03-21 11:30:00,2025-03-21 11:59:00,5646.81,5658.81,12.0,60.0,TP
2025-03-24,3,2025-03-24 09:30:00,2025-03-24 10:29:00,5754.15,5759.67,-5.52,-27.6,TIME
2025-03-24,4,2025-03-24 11:30:00,2025-03-24 12:29:00,5755.79,5752.77,-3.02,-15.1,TIME
2025-03-24,5,2025-03-24 12:30:00,2025-03-24 13:29:00,5752.75,5746.42,-6.33,-31.65,TIME
2025-03-24,1,2025-03-24 08:30:00,2025-03-24 08:45:00,5718.08,5748.08,-30.0,-150.0,SL
2025-03-24,2,2025-03-24 10:30:00,2025-03-24 11:29:00,5759.72,5756.18,3.54,17.7,TIME
2025-03-24,6,2025-03-24 13:30:00,2025-03-24 13:53:00,5746.51,5758.51,12.0,60.0,TP
2025-03-25,6,2025-03-25 09:30:00,2025-03-25 10:29:00,5781.37,5780.4,0.97,4.85,TIME
2025-03-25,5,2025-03-25 12:30:00,2025-03-25 13:29:00,5764.4,5766.51,2.11,10.55,TIME
2025-03-25,1,2025-03-25 08:30:00,2025-03-25 09:29:00,5775.96,5781.35,5.39,26.95,TIME
2025-03-25,2,2025-03-25 13:30:00,2025-03-25 14:29:00,5766.64,5764.58,-2.06,-10.3,TIME
2025-03-25,3,2025-03-25 10:30:00,2025-03-25 11:29:00,5780.39,5767.97,-12.42,-62.1,TIME
2025-03-25,4,2025-03-25 11:30:00,2025-03-25 12:29:00,5767.92,5764.37,3.55,17.75,TIME
2025-03-26,6,2025-03-26 12:30:00,2025-03-26 13:29:00,5712.2,5715.26,-3.06,-15.3,TIME
2025-03-26,4,2025-03-26 09:30:00,2025-03-26 10:28:00,5755.79,5743.79,12.0,60.0,TP
2025-03-26,1,2025-03-26 08:30:00,2025-03-26 08:57:00,5771.66,5759.66,12.0,60.0,TP
2025-03-26,5,2025-03-26 10:30:00,2025-03-26 11:29:00,5745.57,5732.97,-12.6,-63.0,TIME
2025-03-26,2,2025-03-26 13:30:00,2025-03-26 13:47:00,5715.22,5703.22,12.0,60.0,TP
2025-03-26,3,2025-03-26 11:30:00,2025-03-26 12:29:00,5732.95,5712.37,-20.58,-102.9,TIME
2025-03-27,2,2025-03-27 08:30:00,2025-03-27 08:33:00,5695.64,5683.64,12.0,60.0,TP
2025-03-27,1,2025-03-27 11:30:00,2025-03-27 11:50:00,5709.02,5697.02,12.0,60.0,TP
2025-03-27,3,2025-03-27 10:30:00,2025-03-27 11:29:00,5721.02,5708.93,-12.09,-60.45,TIME
2025-03-27,4,2025-03-27 12:30:00,2025-03-27 13:07:00,5690.37,5702.37,12.0,60.0,TP
2025-03-27,5,2025-03-27 09:30:00,2025-03-27 09:54:00,5717.79,5729.79,12.0,60.0,TP
2025-03-27,6,2025-03-27 13:30:00,2025-03-27 13:52:00,5701.88,5713.88,12.0,60.0,TP
2025-03-28,5,2025-03-28 12:30:00,2025-03-28 13:29:00,5575.08,5581.88,-6.8,-34.0,TIME
2025-03-28,6,2025-03-28 11:30:00,2025-03-28 12:10:00,5590.47,5578.47,12.0,60.0,TP
2025-03-28,2,2025-03-28 10:30:00,2025-03-28 11:29:00,5610.99,5590.49,-20.5,-102.5,TIME
2025-03-28,1,2025-03-28 08:30:00,2025-03-28 09:08:00,5679.2,5649.2,-30.0,-150.0,SL
2025-03-28,3,2025-03-28 09:30:00,2025-03-28 10:00:00,5616.95,5604.95,12.0,60.0,TP
2025-03-28,4,2025-03-28 13:30:00,2025-03-28 14:29:00,5581.82,5579.16,2.66,13.3,TIME
2025-03-31,1,2025-03-31 08:30:00,2025-03-31 08:32:00,5527.91,5515.91,12.0,60.0,TP
2025-03-31,3,2025-03-31 12:30:00,2025-03-31 13:06:00,5557.28,5569.28,12.0,60.0,TP
2025-03-31,2,2025-03-31 09:30:00,2025-03-31 10:08:00,5516.25,5546.25,-30.0,-150.0,SL
2025-03-31,6,2025-03-31 11:30:00,2025-03-31 11:58:00,5566.19,5554.19,12.0,60.0,TP
2025-03-31,4,2025-03-31 10:30:00,2025-03-31 10:41:00,5546.75,5558.75,12.0,60.0,TP
2025-03-31,5,2025-03-31 13:30:00,2025-03-31 14:29:00,5590.77,5595.38,-4.61,-23.05,TIME
2025-04-01,3,2025-04-01 09:30:00,2025-04-01 09:43:00,5574.03,5604.03,-30.0,-150.0,SL
