date,signal_num,entry_time,exit_time,direction,tp,sl,original_tp_sl_pnl,success_rate,exit_type,filter_level,7/20,7/30,7/45,10/20,10/30,10/45,15/20,15/30,15/45
2025-06-02,1,8:31AM CT,9:00AM CT,Buy,25.42,29.56,-29.56,75.0,SL,Strict,7,7,7,10,10,10,-20,-30,-31.890000000000327
2025-06-03,1,8:31AM CT,9:30AM CT,Sell,26.71,35.62,-7.520000000000437,66.04,TIME,Moderate,7,7,7,-7.520000000000437,-7.520000000000437,-7.520000000000437,-7.520000000000437,-7.520000000000437,-7.520000000000437
2025-06-03,2,9:30AM CT,11:30AM CT,Buy,23.74,10.09,22.92999999999938,60.0,TIME,Moderate,7,7,7,10,10,10,15,15,15
2025-06-03,3,12:30PM CT,3:00PM CT,Sell,26.12,8.31,7.800000000000182,60.0,TIME,Moderate,7,7,7,10,10,10,15,15,15
2025-06-04,1,8:31AM CT,9:30AM CT,Buy,14.33,12.54,-12.54,67.19,SL,Minimum,7,7,7,4.869999999999891,4.869999999999891,4.869999999999891,4.869999999999891,4.869999999999891,4.869999999999891
2025-06-04,2,9:30AM CT,11:30AM CT,Buy,13.13,11.94,-11.94,69.44,SL,Minimum,-15.339999999999236,-15.339999999999236,-15.339999999999236,-15.339999999999236,-15.339999999999236,-15.339999999999236,-15.339999999999236,-15.339999999999236,-15.339999999999236
2025-06-04,4,11:30AM CT,1:30PM CT,Sell,17.31,13.13,0,61.11,SL,Minimum,-15.550000000000182,-15.550000000000182,-15.550000000000182,-15.550000000000182,-15.550000000000182,-15.550000000000182,-15.550000000000182,-15.550000000000182,-15.550000000000182
2025-06-05,1,12:30PM CT,3:00PM CT,Buy,31.05,10.15,-10.15,60.0,SL,Moderate,-20,-30,-45,-20,-30,-45,-20,-30,-45
2025-06-06,1,8:31AM CT,8:45AM CT,Buy,25.54,29.7,20.36999999999989,75.0,TIME,Strict,7,7,7,10,10,10,15,15,15
2025-06-06,2,8:45AM CT,9:15AM CT,Sell,26.73,26.13,4.880000000000109,70.0,TIME,Strict,7,7,7,4.880000000000109,4.880000000000109,4.880000000000109,4.880000000000109,4.880000000000109,4.880000000000109
2025-06-06,3,12:30PM CT,3:00PM CT,Buy,25.54,11.88,8.469999999999345,77.78,TIME,Strict,7,7,7,10,10,10,15,15,15
2025-06-09,1,8:31AM CT,9:00AM CT,Buy,15.0,21.0,-4.229999999999563,67.86,TIME,Minimum,-4.229999999999563,-4.229999999999563,-4.229999999999563,-4.229999999999563,-4.229999999999563,-4.229999999999563,-4.229999999999563,-4.229999999999563,-4.229999999999563
2025-06-09,2,9:00AM CT,10:00AM CT,Sell,15.0,19.8,-6.0,66.67,TIME,Minimum,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
2025-06-09,3,10:30AM CT,11:30PM CT,Buy,12.6,11.4,12.6,68.42,TP,Minimum,7,7,7,10,10,10,15,15,15
2025-06-10,1,8:31AM CT,9:30AM CT,Sell,12.61,12.01,-5.529999999999745,62.87,TIME,Minimum,-5.529999999999745,-5.529999999999745,-5.529999999999745,-5.529999999999745,-5.529999999999745,-5.529999999999745,-5.529999999999745,-5.529999999999745,-5.529999999999745
