date,pattern_number_of_day,entry_time,exit_time,entry_price,exit_price,pnl_points,pnl_dollars,exit_type
,1,2025-06-10 08:30:00,2025-06-10 09:29:00,6009.91,6020.99,-11.08,-55.4,TIME
,2,2025-06-10 09:30:00,2025-06-10 10:29:00,6020.9,6020.46,0.44,2.2,TIME
,3,2025-06-10 12:30:00,2025-06-10 13:29:00,6027.69,6018.29,-9.4,-47.0,TIME
,1,2025-06-11 08:30:00,2025-06-11 09:29:00,6049.38,6057.0,7.62,38.1,TIME
,2,2025-06-11 09:30:00,2025-06-11 10:09:00,6057.0,6047.0,10.0,50.0,TP
,3,2025-06-11 12:30:00,2025-06-11 12:43:00,6052.12,6042.12,10.0,50.0,TP
,1,2025-06-12 08:30:00,2025-06-12 09:17:00,6009.9,6029.9,-20.0,-100.0,SL
,2,2025-06-12 09:30:00,2025-06-12 10:29:00,6033.89,6032.68,1.21,6.05,TIME
,3,2025-06-12 10:30:00,2025-06-12 11:29:00,6032.71,6038.86,6.15,30.75,TIME
,1,2025-06-13 08:30:00,2025-06-13 08:30:00,6000.56,5990.56,10.0,50.0,TP
,2,2025-06-13 09:30:00,2025-06-13 09:42:00,5975.91,5995.91,-20.0,-100.0,SL
,3,2025-06-13 11:30:00,2025-06-13 12:29:00,6016.57,6003.78,-12.79,-63.95,TIME
,1,2025-06-16 09:30:00,2025-06-16 10:29:00,6046.9,6040.18,6.72,33.6,TIME
,2,2025-06-16 11:30:00,2025-06-16 12:29:00,6037.08,6040.32,-3.24,-16.2,TIME
,3,2025-06-16 12:30:00,2025-06-16 12:57:00,6040.37,6030.37,10.0,50.0,TP
,1,2025-06-17 08:30:00,2025-06-17 09:29:00,6012.15,6018.68,-6.53,-32.65,TIME
,2,2025-06-17 09:30:00,2025-06-17 10:29:00,6018.55,6011.68,6.87,34.35,TIME
,3,2025-06-17 12:30:00,2025-06-17 12:49:00,5996.82,5986.82,10.0,50.0,TP
,1,2025-06-18 08:30:00,2025-06-18 09:14:00,5987.93,6007.93,-20.0,-100.0,SL
,2,2025-06-18 11:30:00,2025-06-18 12:29:00,6001.38,5994.77,6.61,33.05,TIME
,3,2025-06-18 09:30:00,2025-06-18 10:29:00,6014.45,6007.49,6.96,34.8,TIME
,1,2025-06-20 08:30:00,2025-06-20 09:24:00,5999.67,5989.67,10.0,50.0,TP
,2,2025-06-20 09:30:00,2025-06-20 09:51:00,5985.21,5965.21,-20.0,-100.0,SL
,3,2025-06-20 13:30:00,2025-06-20 13:56:00,5972.25,5962.25,10.0,50.0,TP
